x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
0.603,0.603,0.585,0.556,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1427204.000,262336.500,0.184,0.597,0.597
0.454,0.454,0.645,0.616,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1427978.000,238627.200,0.167,0.448,0.448
0.304,0.304,0.706,0.677,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1428750.000,235329.300,0.165,0.298,0.298
0.154,0.154,0.767,0.737,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1429523.000,245612.800,0.172,0.148,0.148
0.005,0.005,0.827,0.798,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1439024.000,266187.900,0.185,-0.001,-0.001
-0.144,-0.144,0.888,0.859,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1438969.000,294336.700,0.205,-0.150,-0.150
-0.294,-0.294,0.948,0.919,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1438910.000,325420.100,0.226,-0.300,-0.300
-0.444,-0.444,1.009,0.981,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1438852.000,352837.200,0.245,-0.450,-0.450
-0.593,-0.593,1.069,1.041,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,1438793.000,388409.100,0.270,-0.599,-0.599
