x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
0.603,-0.603,0.585,0.556,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1714728.000,327624.200,0.191,0.597,-0.597
0.454,-0.454,0.645,0.616,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1715410.000,284906.800,0.166,0.448,-0.448
0.304,-0.304,0.706,0.677,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1716104.000,251191.100,0.146,0.298,-0.298
0.154,-0.154,0.767,0.737,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1716798.000,234581.000,0.137,0.148,-0.148
0.005,-0.005,0.827,0.798,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1709019.000,232394.300,0.136,-0.001,0.001
-0.144,0.144,0.888,0.859,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1709033.000,238688.100,0.140,-0.150,0.150
-0.294,0.294,0.948,0.919,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1709058.000,254150.700,0.149,-0.300,0.300
-0.444,0.444,1.009,0.981,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1709083.000,274917.000,0.161,-0.450,0.450
-0.593,0.593,1.069,1.041,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1709107.000,300827.600,0.176,-0.599,0.599
