x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
-0.603,0.603,0.585,0.556,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1207978.000,266484.700,0.221,-0.597,0.597
-0.454,0.454,0.645,0.616,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1208184.000,266198.200,0.220,-0.448,0.448
-0.304,0.304,0.706,0.677,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1208377.000,283853.700,0.235,-0.298,0.298
-0.154,0.154,0.767,0.737,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1208570.000,306175.600,0.253,-0.148,0.148
-0.005,0.005,0.827,0.798,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1208762.000,335548.300,0.278,0.001,-0.001
0.144,-0.144,0.888,0.859,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1209760.000,372155.500,0.308,0.150,-0.150
0.294,-0.294,0.948,0.919,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1210086.000,405733.800,0.335,0.300,-0.300
0.444,-0.444,1.009,0.981,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1210399.000,438233.200,0.362,0.450,-0.450
0.593,-0.593,1.069,1.041,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,1210710.000,471705.500,0.390,0.599,-0.599
