time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,9774.636189519015,7799.519226007895,1975.116963511119,10544.9327,3076.3517685113925,379.2129099271417,120,1156.0694171269881,0.7313413060650987,0.0,6504.055110666267,0.10746665679443639,225.8352468981343,3
2006,10101.041948684482,8156.614270534351,1944.4276781501321,10558.8382,2745.040610600521,340.87731520121105,108,1034.069388585181,1.557218462087638,0.0,6431.247411866342,0.10735258910629429,223.30720180091467,3
2007,10408.24086839095,8232.660814466957,2175.5800539239935,10573.680199999999,2667.448818638441,328.3292619282997,104,1001.9274484531585,1.1184984008884487,0.0,6402.101094218065,0.1073726979455092,222.29517688257172,2
2008,9994.583458673014,7972.429483720542,2022.153974952473,10599.5783,2961.271617205981,363.4768353076382,115,1111.2726982384413,1.5629468682105825,0.0,6432.921268471453,0.10783628032326466,223.36532182192548,3
2009,9368.191578112739,7470.55135881593,1897.6402192968092,10559.2271,3424.615029943256,429.2525442775739,136,1294.05431951577,3.668546161555261,0.0,6560.333621877723,0.10802908514054387,227.7893618707543,3
2010,9160.508815912102,7353.933273329442,1806.5755425826587,10562.0922,3549.0599300543195,429.88517587144673,136,1326.1124309356687,1.153223368309103,0.0,6470.983901532836,0.10789099232560866,224.68694102544572,3
2011,10928.726753336188,8652.483694146878,2276.243059189309,10568.7928,2247.494411352378,283.6547233820629,90,851.2038171579159,2.6442568480289075,0.0,6376.365185624994,0.10749386633931386,221.40156894531233,2
2012,10579.309778669964,8360.256475052372,2219.0533036175902,10626.2358,2598.529687377064,325.2732583507408,103,981.4676238499993,4.573105713390032,0.0,6402.646851331367,0.10742012340417509,222.31412678233914,3
2013,9982.302531448006,7948.727973746129,2033.574557701877,10561.5664,2940.9994315588146,369.4281007150348,117,1112.1047248460486,2.939611021546369,0.0,6475.842673440803,0.10731762372434255,224.85564838336123,3
2014,9271.659134187688,7323.457608077891,1948.2015261097972,10536.3886,3548.2800956162087,444.7844666381436,141,1340.8147938139539,5.523923618967842,0.0,6450.561908658884,0.10789522987443698,223.9778440506557,3
2015,10900.420689875386,8643.760866133856,2256.6598237415287,10586.4025,2283.0930487377336,284.97512779124895,90,861.5137764623938,0.17503807752997524,0.0,6403.031845840168,0.10774964894796446,222.32749464722806,2
2016,9820.520194749233,7905.581224788378,1914.938969960855,10584.8104,3008.8218468411537,372.51049590418967,118,1132.3139925812486,1.905872279490471,0.0,6493.789486715825,0.10758741260789186,225.47880162207727,3
2017,10671.450130038227,8237.974026021917,2433.4761040163107,10581.5492,2677.1497850888945,328.62029966799895,104,1004.6682251954975,0.670912586037606,0.0,6381.257141972913,0.1087801188450245,221.57142854072617,3
2018,9948.013527052071,7964.171616569585,1983.8419104824864,10561.5772,2938.5260530708215,366.37364895443733,116,1108.4256825581801,4.111414445475731,0.0,6464.770626906914,0.10741873213125386,224.47120232315675,2
2019,9968.362853166744,7790.863790588651,2177.499062578093,10578.632,3122.0447603627595,391.8972561209343,124,1180.2923976266816,4.730529201199698,0.0,6431.78154653388,0.10728009118761854,223.3257481435375,3
2020,10630.950490694531,8479.14053007775,2151.8099606167816,10592.2057,2444.0396207046897,302.95429179082294,96,920.1360141909971,2.553155841069568,0.0,6401.228204749509,0.10820349969193098,222.26486822046908,3
2021,10275.527062704203,8063.817853428594,2211.709209275608,10583.3825,2854.7615638983098,351.02098266296497,111,1071.9203674857704,0.9990959690472326,0.0,6424.678768596341,0.10805381572298663,223.07912390959518,2
2022,10713.788267670485,8462.668170430867,2251.120097239619,10583.9074,2455.1604735352416,309.1539691512379,98,929.1439877207433,3.940490200405522,0.0,6429.040659144994,0.10829473745078305,223.23057844253452,2
2023,10111.924491507307,8046.126723798161,2065.7977677091453,10574.0785,2854.3343477527314,356.2963768323143,113,1077.087878790075,3.9006688357754205,0.0,6432.172378009694,0.10888408347077334,223.33931868089215,3
