year,month,pv_kwh,pv_used_kwh,load_kwh,gen_dc_kwh,genset_h,fuel_l
2005,1,752.2007834183951,640.203901445684,910.1750000000001,286.2372801525933,31.385666683398394,103.66780813607348
2005,2,718.8000464612769,575.4862738735046,823.2,295.078208135317,32.35506668150406,106.86976570557401
2005,3,761.1551816399144,639.1653192118038,910.1750000000001,303.60102212832203,33.289585759684435,109.95651053956372
2005,4,817.7463855878522,707.9722169937589,882.0000000000001,202.21504927538894,22.172702771424227,73.23710915409819
2005,5,924.9862635433085,857.1839970829619,913.2683000000001,77.52256522339682,8.500281274495267,28.07668663393891
2005,6,884.2482028760716,849.5083020102895,889.2632000000001,72.66134203910727,7.96725241656878,26.31607616381809
2005,7,941.2895852442557,926.5866453040878,925.8014000000001,26.80099231595762,2.9387052978023713,9.706632650316923
2005,8,852.1574853136789,813.5989415864361,919.8529000000001,124.90588550290406,13.695820778827201,45.23771105733832
2005,9,789.291698883848,744.4667262243006,884.1102000000001,149.80180436178037,16.425636443177673,54.25437491837474
2005,10,840.7405580515392,731.166498080647,912.6617000000001,233.69352771401012,25.624290319518657,84.63780741901616
2005,11,641.8043450316095,560.4481964143049,882.0000000000001,339.59165398692295,37.235926972250326,122.99139515076622
2005,12,367.55852450116214,367.55852450116214,911.4000000000001,566.64528639928,62.13215859641229,205.22440263663452
2006,1,717.3916913450763,655.6752212093755,911.4000000000001,318.8442426754599,34.96099152143201,115.47721441927541
2006,2,578.9824917801706,517.8893985718483,823.2,311.06074586024533,34.10753792327252,112.65823132232437
2006,3,564.7039745082211,507.5057886480047,910.1750000000001,459.09404535377314,50.33925935896636,166.27209909476764
2006,4,729.4145036915966,650.3492261120288,882.0000000000001,249.01136172825287,27.30387738248387,90.18553438456793
2006,5,905.2422949384465,866.1467551040764,914.1049,79.8540351005255,8.75592490137341,28.921085280293987
2006,6,807.0879495168548,778.8752345002507,895.8954,152.7672566009787,16.750795679931876,55.32838573068407
2006,7,859.0209514998445,837.9179267647181,928.3829000000001,97.21747259212522,10.6598105912418,35.20967740743504
2006,8,867.0785053864367,839.0001078039916,920.5118,123.89464761066498,13.584939430993968,44.871466605404315
2006,9,927.6408820578799,791.1540971500698,885.9348,127.50381876958677,13.98068188263013,46.17861591535406
2006,10,1078.5793632439663,864.2808485539058,912.8334000000001,78.41240567564347,8.597851499522312,28.398964043876724
2006,11,857.7143882843286,768.4970224013965,882.0000000000001,143.33261686943584,15.716295709367966,51.91140097942752
2006,12,789.6774523974746,695.0464662402263,911.4000000000001,229.64510627339172,25.180384459801726,83.17157291267841
2007,1,658.9542569176317,622.6260979253112,911.4000000000001,343.8257241201447,37.70018904826148,124.52486685637882
2007,2,552.2864115372104,523.6983884000763,823.2,316.3375078387783,34.68613024548008,114.56933929567663
2007,3,712.3117962684195,604.108616978198,910.1750000000001,329.289623998575,36.106318420896386,119.26026387508199
2007,4,1033.9587683396915,882.9797236984843,882.0685000000001,46.624770766805554,5.112365215658504,16.88629722747809
2007,5,809.5016786029076,773.9826965732242,913.6955,156.61616984124385,17.172825640487265,56.722363479185205
2007,6,863.433861394691,839.659614304883,892.8554,80.39269453767078,8.814988436148111,29.116173925458913
2007,7,1044.251781879199,976.267674206951,938.3597,0.0,0.0,0.0
2007,8,1065.0052501874422,953.9846922117852,931.4529,0.0,0.0,0.0
2007,9,931.4002969418492,793.0046798900835,883.0456,122.77406424806514,13.462068448252758,44.465620026046984
2007,10,769.8034175372518,627.5699950104308,913.0276000000001,291.273604571131,31.937895238062612,105.49183578632801
2007,11,623.9453761449927,571.2322330004957,882.0000000000001,335.74624007579223,36.81428071006494,121.59868476960843
2007,12,828.4187337747134,734.3787527440703,911.4000000000001,239.53160163341892,26.26443000366436,86.75220819392166
2008,1,668.6695971348599,610.766798810534,911.4000000000001,311.01797418894716,34.10284804703369,112.64274051899005
2008,2,898.5020506772516,708.6015940495708,852.6,198.0062922159451,21.71121625174837,71.71280519516885
2008,3,678.33582095837,596.9273845638717,910.1750000000001,345.8924219568457,37.92680065316291,125.27337185438655
2008,4,717.3333071386245,695.7854337200727,882.0000000000001,184.956781016524,20.280348795671493,66.98660662812705
2008,5,807.7323953862875,772.9137471232922,914.4966000000001,199.27768023078391,21.8506228323228,72.17326935524802
2008,6,811.0043184161469,794.4684767314843,892.8023000000001,124.73141540575928,13.67669028571922,45.17452245889075
2008,7,899.6816827969483,865.3341951542925,927.8634000000001,77.74599681694882,8.524780352735617,28.157607831763094
2008,8,1051.0416837345829,951.4424288743998,932.0663000000001,20.639998549403742,2.263157735680235,7.475278581489261
2008,9,856.6767303471673,751.7557364408677,889.7198000000001,148.2420003295249,16.254605299290013,53.68945386735186
