x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
0.326,0.326,0.703,0.688,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,0.308,0.308
0.249,0.249,0.894,0.878,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,0.230,0.230
0.171,0.171,1.084,1.069,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,0.153,0.153
0.093,0.093,1.275,1.260,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,0.075,0.075
0.015,0.015,1.465,1.450,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,-0.003,-0.003
-0.062,-0.062,1.656,1.641,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,-0.081,-0.081
-0.140,-0.140,1.847,1.832,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,-0.158,-0.158
-0.218,-0.218,2.037,2.021,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,-0.236,-0.236
-0.296,-0.296,2.227,2.213,a2.0.a0.panel_Northeast.6457,a2.0.a0.panel_Northeast.2310,0.000,0.000,0.000,-0.314,-0.314
