0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
55 32
128 71
192 99
250 130
269 156
242 160
188 128
107 69
32 19
1 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
60 37
165 90
286 105
378 90
400 86
363 82
275 71
152 49
44 18
1 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
54 30
140 66
206 103
264 123
310 116
277 119
179 106
86 61
28 18
1 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
19 19
58 58
95 95
117 116
109 108
73 73
41 40
17 17
4 4
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
50 38
146 91
250 134
312 144
341 114
341 93
275 86
152 57
43 19
2 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
61 34
158 85
247 121
325 136
370 144
349 134
270 103
156 62
49 21
2 2
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
49 32
119 81
185 128
222 144
241 144
224 131
156 92
88 58
28 23
2 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
57 40
158 98
264 143
358 142
414 110
391 89
299 77
172 56
55 21
3 2
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
77 29
202 66
320 87
399 92
424 92
390 87
303 74
175 53
55 22
3 2
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
73 33
194 64
298 83
358 90
370 95
343 100
277 86
163 62
49 28
3 3
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
51 34
122 85
159 124
167 139
154 129
124 104
97 82
56 50
16 15
1 1
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
46 36
116 87
169 129
194 154
193 157
175 141
135 110
76 69
26 25
2 2
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
38 34
102 90
175 136
222 167
201 164
151 130
107 92
63 55
23 22
2 2
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
73 32
193 64
300 82
382 92
418 96
387 90
306 77
182 57
61 24
5 3
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
