x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
-0.326,-0.326,0.703,0.688,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1275416.000,651181.900,0.511,-0.308,-0.308
-0.249,-0.249,0.894,0.878,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1279922.000,664108.900,0.519,-0.230,-0.230
-0.171,-0.171,1.084,1.069,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1274388.000,675848.800,0.530,-0.153,-0.153
-0.093,-0.093,1.275,1.260,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1277390.000,692594.100,0.542,-0.075,-0.075
-0.015,-0.015,1.465,1.450,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1282841.000,709273.500,0.553,0.003,0.003
0.062,0.062,1.656,1.641,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1284413.000,706147.600,0.550,0.081,0.081
0.140,0.140,1.847,1.832,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1285981.000,718789.000,0.559,0.158,0.158
0.218,0.218,2.037,2.021,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1277100.000,731337.600,0.573,0.236,0.236
0.296,0.296,2.227,2.213,a2.0.a0.panel_Southwest.6457,a2.0.a0.panel_Southwest.2310,1277803.000,734003.500,0.574,0.314,0.314
