x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
-0.326,0.326,0.703,0.688,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,687822.900,998371.100,1.451,-0.308,0.308
-0.249,0.249,0.894,0.878,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,692498.000,1015419.000,1.466,-0.230,0.230
-0.171,0.171,1.084,1.069,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,683579.400,1014134.000,1.484,-0.153,0.153
-0.093,0.093,1.275,1.260,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,686069.800,1027857.000,1.498,-0.075,0.075
-0.015,0.015,1.465,1.450,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,692446.700,1032648.000,1.491,0.003,-0.003
0.062,-0.062,1.656,1.641,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,694238.400,1042259.000,1.501,0.081,-0.081
0.140,-0.140,1.847,1.832,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,688886.800,1035021.000,1.502,0.158,-0.158
0.218,-0.218,2.037,2.021,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,689933.500,1041359.000,1.509,0.236,-0.236
0.296,-0.296,2.227,2.213,a2.0.a0.panel_Northwest.6457,a2.0.a0.panel_Northwest.2310,690966.700,1051352.000,1.522,0.314,-0.314
