x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
0.326,-0.326,0.703,0.688,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1873568.000,428620.300,0.229,0.308,-0.308
0.249,-0.249,0.894,0.878,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1881792.000,430421.900,0.229,0.230,-0.230
0.171,-0.171,1.084,1.069,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1859418.000,438003.000,0.236,0.153,-0.153
0.093,-0.093,1.275,1.260,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1864364.000,446332.000,0.239,0.075,-0.075
0.015,-0.015,1.465,1.450,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1869282.000,458749.400,0.245,-0.003,0.003
-0.062,0.062,1.656,1.641,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1858286.000,467326.400,0.251,-0.081,0.081
-0.140,0.140,1.847,1.832,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1861008.000,479455.200,0.258,-0.158,0.158
-0.218,0.218,2.037,2.021,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1863711.000,492015.500,0.264,-0.236,0.236
-0.296,0.296,2.227,2.213,a1.0.a0.panel_Southeast.6457,a1.0.a0.panel_Southeast.2310,1853751.000,502117.400,0.271,-0.314,0.314
