x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio,rearX,rearY
0.000,-0.662,0.679,0.658,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1719772.000,311012.600,0.181,0.000,-0.641
0.000,-0.501,0.840,0.819,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1724117.000,296564.000,0.172,0.000,-0.480
0.000,-0.340,1.001,0.980,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1713734.000,291801.800,0.170,0.000,-0.319
0.000,-0.179,1.162,1.141,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1716334.000,297319.600,0.173,0.000,-0.158
0.000,-0.018,1.323,1.303,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1718931.000,307718.200,0.179,0.000,0.003
0.000,0.144,1.484,1.463,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1709886.000,323697.100,0.189,0.000,0.165
0.000,0.305,1.645,1.625,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1711501.000,339576.600,0.198,0.000,0.326
0.000,0.466,1.807,1.785,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1713115.000,353981.800,0.207,0.000,0.487
0.000,0.627,1.968,1.947,a5.0.a0.Huawei_540W_Bi.6457,a5.0.a0.Huawei_540W_Bi.2310,1706007.000,370716.300,0.217,0.000,0.648
