time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,9823.34060238061,8845.39164126705,977.9489611135593,10824.3529,2311.401883835632,253.44318901706492,90,837.1305334200023,0.0,0.0,6927.563277172209,0.1245982014806221,142.5424542628027,2
2006,9959.110830809668,9119.106484076225,840.0043467334444,10839.478500000001,2074.003725310555,227.41268917878898,81,751.1510036511514,0.0,0.0,6831.784331608253,0.12423577857322944,140.57169406601344,2
2007,10065.50716890589,9113.330753290433,952.1764156154568,10862.579800000001,2132.794355883659,233.85903025040122,83,772.4434635543555,0.0,0.0,6840.7186698559035,0.1248392714126637,140.75552818633548,2
2008,9809.426991952658,8913.344295870376,896.0826960822819,10881.575200000001,2325.2771686595383,254.9646018267038,91,842.155806033658,0.0,0.0,6874.270485443076,0.12427361231719443,141.4458947622032,2
2009,9253.503994402625,8561.044188541577,692.4598058610495,10848.0751,2623.317780403388,287.6444934652838,102,950.0984784156342,0.0,0.0,6955.200515224576,0.1244021529622987,143.11112171243985,2
2010,9013.062034603145,8247.296400242392,765.7656343607528,10839.7077,2977.7525882986556,326.50795924327366,114,1078.465683561116,0.0,0.0,6938.425149790984,0.12424022389709764,142.76594958417664,3
2011,10592.024080253394,9544.055280889505,1047.968799363888,10865.333,1673.9105275659558,183.54282100503903,65,606.2474996833107,0.0,0.0,6789.29748937671,0.12444223513341225,139.6974792052821,2
2012,10196.821559168155,9251.563555998126,945.2580031700287,10924.623000000001,2025.6094176277543,222.10629579251693,79,733.6238254964953,0.0,0.0,6787.7026567717285,0.12464741430261794,139.6646637195829,1
2013,9645.84640519353,8813.089985191174,832.7564200023545,10845.2914,2358.063795815628,258.55962673416974,91,854.0302822431668,0.0,0.0,6867.660718655247,0.1245541696259373,141.3098913303549,3
2014,9043.623219996347,8414.53408005303,629.0891399433161,10804.2412,2765.8734871081115,303.27560165659116,108,1001.7285024414678,0.0,0.0,6886.946690573629,0.12434090958753356,141.70672202826398,2
2015,10567.903611761776,9532.095246558147,1035.8083652036282,10883.187600000001,1716.1306726409696,188.1722228772993,67,621.5385543522916,0.0,0.0,6789.8104321041765,0.12417938863656185,139.70803358239047,2
2016,9570.179260817808,8876.344387061341,693.8348737564678,10868.8058,2339.6105258797493,256.53624187277956,91,847.3469807313021,0.0,0.0,6907.845250438553,0.12442207404928096,142.1367335481184,2
2017,10442.129897995681,9335.09752417232,1107.0323738233592,10880.190900000001,1897.109484122494,208.01639080290505,74,687.0844423489893,0.0,0.0,6825.002166153914,0.12444978467677323,140.4321433365003,1
2018,9558.985861584053,8865.345403590794,693.6404579932581,10874.143,2379.697977238968,260.9317957498869,92,861.8656283859899,0.0,0.0,6869.301706722618,0.12490989958080528,141.34365651692633,3
2019,9850.277000266027,8989.112560364189,861.164439901838,10862.0563,2228.4731220464796,244.35012303141227,86,807.0958609219374,0.0,0.0,6845.065704387727,0.12416352998389728,140.8449733413113,2
2020,10384.310513695076,9401.18888487539,983.1216288196861,10872.3747,1807.8785832275182,198.23230079249103,71,654.7672965570158,0.0,0.0,6823.939475114717,0.12482464577877102,140.41027726573495,1
2021,9764.932208172884,8890.096212512552,874.8359956603329,10879.6096,2364.9697426815665,259.3168577501718,94,856.5314392354159,0.0,0.0,6887.184784819257,0.12434638943090086,141.71162108681602,2
2022,10428.67690734908,9444.323148525575,984.3537588235051,10884.1594,1777.8729045606367,194.94220444743826,69,643.9000086294171,0.0,0.0,6790.3910035561885,0.12422746662659544,139.71997949704092,2
2023,9880.070018971575,9181.78756857025,698.2824504013266,10867.6851,2056.2545114081972,225.4665034438813,80,744.722693193426,0.0,0.0,6867.330182046854,0.12522112340537825,141.30309016557314,2
