year,month,pv_kwh,pv_used_kwh,load_kwh,gen_dc_kwh,genset_h,fuel_l
2005,1,781.355041310542,620.3298094869048,891.6,287.6445622943592,34.83318586837218,107.47070159927097
2005,2,748.1670841552583,530.2775018236484,806.4,317.90989108662933,40.89840452203277,121.17868004895936
2005,3,820.5525785368143,610.2468797710892,891.6,311.2548240228142,40.52765063598496,119.12735367204915
2005,4,877.8830224173406,695.378596275805,864.2287,195.7684987531199,25.465380421835174,74.90187000595637
2005,5,908.8368469930127,795.083613235888,900.2692,126.13035024963942,15.853332088974918,47.704430636863655
2005,6,898.4875488353546,843.9689328033778,884.4327999999999,72.4424235203319,9.564897184702934,27.85843847771604
2005,7,976.6654810346984,877.9345559923889,927.3388,76.36837802718642,9.580816036731816,28.865759982991012
2005,8,907.8117078625062,835.3429538028298,914.4458999999999,105.21889869017242,12.653154029078262,39.22358299124301
2005,9,907.8889732814278,748.6906125147186,873.4193,156.32960093494427,18.840224011373866,58.31739596464262
2005,10,882.4595871834956,663.5965789598729,894.8432,255.5785470419819,31.837905923753027,96.37794305556663
2005,11,639.7371070679031,493.3588627988535,864.0,397.2285454223163,47.64860344567129,147.95884218868045
2005,12,473.49562370225584,397.3438193035776,892.8,528.8295626351066,65.93258020615335,199.4753990534025
2006,1,761.9023057478098,610.9431669653835,892.8,317.3100300465152,40.72271224488164,120.85150771117335
2006,2,652.7459007669878,498.9413890535221,806.4,323.42361868835235,40.86776132583019,122.54039230773735
2006,3,642.6240439165147,519.4220656478806,891.6,412.43107901140075,50.37411652795184,154.52337890456818
2006,4,823.3091735028079,662.8601486814831,864.5597,216.5601399001662,28.336834401940283,83.02373841713377
2006,5,925.1935812508437,783.0417725404915,900.5613999999999,159.57281176586844,22.10060274733562,62.39676733467614
2006,6,843.7484844468838,812.7279383032655,889.0761,101.5240372575385,12.65890791133486,38.29629105717791
2006,7,901.9272648833987,811.9186189751307,933.4439,148.90962121029474,18.807320463373454,56.41076016294283
2006,8,862.8518721596255,763.6536948038917,914.122,176.4184821886586,22.037508590533214,66.587630355346
2006,9,955.8503778924319,746.5488400814245,875.2084,156.0418470032822,18.8523499001469,58.25685671915755
2006,10,1012.2227000206675,763.5432209528662,895.9069999999999,158.7805039390989,19.02770262079869,59.12378947410649
2006,11,805.475942643061,634.4715090588517,864.0,257.7554876513919,31.294697309306414,96.38446691824376
2006,12,771.2591835786358,615.6541210369674,892.8,307.601758269348,37.72807027885517,115.40528196303396
2007,1,607.6800714494763,474.98171102682824,892.8,452.430116031783,56.88717247627095,171.13720177722624
2007,2,576.9048963073327,451.89889724587056,806.4,381.8004750779397,47.24470696997918,143.65896835329727
2007,3,709.08495143577,527.5746597477281,891.6,394.08485443620594,47.2544593460135,146.77083672889378
2007,4,1107.002818691281,864.9748888227888,866.0020999999999,27.050199335581492,3.220261825664464,10.051120243740598
2007,5,859.4870873525656,730.868516532068,901.9123,198.46184537072224,25.03735102012346,75.15397863899271
2007,6,903.6477809775209,824.4377338198561,890.0508,91.44781334285928,12.679518482329001,35.7724006396167
2007,7,1013.174260816186,923.4536127228068,940.595,43.78513557727822,6.337301996289154,17.394154414793757
2007,8,1008.5659492557603,896.4820459859333,931.7834,49.08435007161395,6.319736045012551,18.71477394188476
2007,9,957.7653118465845,703.5471365092426,869.5354,206.02099237437633,25.277324671341656,77.30282779618416
2007,10,825.9397769949874,647.0001092500014,896.1007999999999,282.00784981655204,34.71480378751542,105.92890727654371
2007,11,640.4498402558269,490.04838317022944,864.0,394.9858973291312,47.231248779388395,146.97516224634072
2007,12,855.8044235225973,707.9094632000202,892.8,219.2833072682429,28.345920924551752,83.72049346703733
2008,1,633.846359480212,449.91973787162027,892.8,479.26074984946115,59.7035893839104,180.72903126508746
2008,2,895.1251045992457,661.3802476871276,835.1999999999999,197.9660318848562,25.36885548100258,75.36027767414808
2008,3,675.0915896681456,529.6262882371374,891.6,392.83898985753854,47.175441467639565,146.3772065831796
2008,4,748.7449245598576,599.8553171241746,864.1413,290.20322478353893,34.80944778364451,108.0930904057503
2008,5,870.9242969317933,750.3079778436442,899.8312,176.87310888487443,22.03100322373828,66.69592970981768
2008,6,819.3261995818095,742.2111680175191,885.2947,168.86070575245716,21.878788044436835,64.52038040616844
2008,7,931.0756234257482,852.4874989528269,926.4141999999999,100.9453418729512,12.558471815990984,38.04971976370594
2008,8,1091.8282809618854,962.7661885408447,935.427,0.0,0.0,0.0
2008,9,935.8237867930387,796.6019189477831,879.0666,106.51077366482852,12.703504135438239,39.600164151809075
2008,10,950.0416677640577,743.277147560492,895.2158,181.2537152292825,21.95559490890977,67.72673511832454
2008,11,661.993217984174,555.8887869822287,864.1844,331.5891503520827,41.04490192342416,124.77953585071776
2008,12,595.60594020269,475.1295240323189,892.8,456.0219306296447,56.802724582927006,171.95977777223123
2009,1,480.70154333736747,374.91975649296717,892.8,549.0764474029376,68.94621647138499,207.60188500748032
2009,2,670.7271419181945,523.8052412694582,806.4,313.09429289349396,38.16664337584165,117.23085875298658
2009,3,742.9289868330461,582.5686313059734,891.6,331.6336283861921,41.06479403404825,124.81065978813716
2009,4,749.7356887683308,586.482709042593,864.5896,297.04980912804814,37.68992339178252,112.70250145442094
2009,5,982.0115796882412,822.6952452604199,906.4449999999999,120.36284121719716,15.646651195197574,46.04130806822716
2009,6,779.3926484919538,686.9832594206597,878.8931,219.52462336040702,28.68778305982528,84.12329400942302
2009,7,981.4674751375322,870.0574119720934,926.9121,89.11783379076772,12.504294708372816,35.00879819088992
2009,8,946.9866431163671,774.2639214073824,931.4811,184.71540715652816,22.14224928404486,68.78755412155196
2009,9,956.3734476911901,811.3079860912314,877.7481,93.42097805471907,12.688601246163424,36.279757320587436
2009,10,808.9736939256827,656.8513216298091,895.4060999999999,266.18096106708657,31.728716171874712,98.94613058275516
2009,11,719.2134646656584,602.7688602977775,864.0,278.51476669760615,34.467140154510865,104.79915194683565
2009,12,434.99168082906084,311.9870636982916,892.8,627.701367457106,75.8648127559317,234.3752590834837
2010,1,679.966703155824,518.4417654484604,892.8,402.6408023930386,50.45027146233624,152.1272417636086
2010,2,411.0044084987645,352.4055919984445,806.4,472.7245775097737,59.80643430725143,179.18132761780035
2010,3,805.4941949564702,620.5942092533484,891.6,313.90938195863254,40.980869643629745,120.25091559277938
2010,4,805.2803141055122,624.2400594295095,864.5398,266.1209390423363,31.809785188280074,99.01204252220337
2010,5,776.7525035898303,692.9583333879792,895.2751999999999,233.15427626224437,28.39247824675427,87.26982073722002
2010,6,829.2786091705758,747.4694441525969,881.6972999999999,156.51779678191923,19.31274013705283,58.83743629410314
2010,7,1006.4022227465082,925.5892539071585,930.6768,19.298066504284556,3.1600746180931387,8.033323735336714
2010,8,1065.4661697913696,895.7737086887151,934.7961,79.01115760050929,9.502943460545895,29.455255985927028
2010,9,910.3196168942371,750.5874416743344,871.8963,147.7093984663627,18.794202486133813,56.09455563420521
2010,10,731.7027600089478,548.7374219628464,894.2001,365.63955033749687,43.97666460912403,136.3098843913202
2010,11,427.7960962044701,360.6299625762989,864.0260999999999,545.8948449709745,66.65692522973791,204.50915880826682
2010,12,563.5984354806342,442.74808125555865,892.8,479.0755877837399,57.072473302490955,178.05115708626366
2011,1,603.5618958041313,482.228499606236,892.8,429.40279216118944,53.613810004338674,162.04885852989156
2011,2,800.944154501542,554.4792326098723,806.4,288.76774627653754,34.99239027319143,107.91353832282212
2011,3,848.570557669136,625.0240752147523,891.6,300.8476563746173,37.56178458257735,113.53341498020798
2011,4,956.9060747792574,777.4504616653105,864.9535999999999,104.43173587225293,12.435435339590192,38.80708581238133
2011,5,933.4924252051127,787.7250249645198,900.1436,148.42592016552902,19.029549658102578,56.51084262919577
2011,6,906.8307089749989,826.4422103400991,886.5126,70.0314200673552,9.50832264816915,27.19302468538006
2011,7,890.828816666224,844.5976007911144,923.1667,121.59179970848677,15.8297161890573,46.534716115442855
2011,8,1091.6646659833657,962.8264926286779,935.7878,0.0,0.0,0.0
2011,9,1006.2030359439508,813.5564956852853,891.3203,104.64201394269838,12.687364335998911,39.112115331629816
2011,10,978.4597674949829,743.1488867658352,896.8484,180.41850595087934,22.20812537965649,67.76835415513106
2011,11,925.4351333904436,708.7927610997642,864.0,183.57571810761155,22.147438953005015,68.50494352563419
2011,12,649.1268438402481,489.77231308934097,892.8,434.797793584524,53.20303481044629,163.00045743280083
2012,1,863.3440859210674,689.9435225592226,892.8,234.59141404536877,28.499517487883747,87.73977355994656
2012,2,555.0053638728425,419.24363093483925,835.1999999999999,443.99672113131294,54.10282746957011,166.22321159363904
2012,3,1202.0746452931567,892.9740466419851,891.7828999999999,26.99969423931043,3.214249314203623,10.032353920090094
2012,4,660.5369383392539,538.3758218683187,866.0142,354.65797112124835,44.50394748585857,134.0640412033455
2012,5,896.2999285716323,746.7146830597204,897.8530999999999,176.60446034335453,22.008238799470494,66.60532474476203
2012,6,945.3976689007524,856.2438811403791,896.3071,66.60021948274269,9.377512344906263,26.1957495880231
2012,7,993.225480152299,930.6409249615633,943.7258,40.98976097124902,6.264313714838789,16.61526345505319
2012,8,1113.0536955180598,971.6982671343353,944.4338,0.0,0.0,0.0
2012,9,962.8980076538122,799.29201253312,883.1324999999999,106.60522504306265,12.691995002842079,39.612506377352844
2012,10,893.7588048462095,699.5445318936011,896.9735999999999,216.86856076207337,28.357712226774154,83.12250029800481
2012,11,538.3965334936353,470.90491802242974,864.0,439.62330739683574,53.50754523864261,164.52353195501527
2012,12,572.8304066054334,451.3431686592531,892.8,467.46076490680406,57.35887288958701,175.4045205933254
2013,1,612.7149787975156,433.40640922779846,892.8,491.9083235473115,60.08285108227226,184.30212470533073
2013,2,647.1251931931996,480.45998619276696,806.4,353.6289331754059,44.21051384231864,133.51074949267365
2013,3,639.014084113624,479.50574622770114,891.6,428.0225276894237,53.683529697505826,161.77002658877444
2013,4,887.4717478852788,723.4151010214174,866.6536,184.6672541480441,22.060924631319345,68.69406961819917
2013,5,783.6121078978044,658.5900413632487,898.0115,256.3715657733572,32.78948800528484,97.52978239249624
2013,6,892.28806551058,775.822498067659,881.8735,142.55516377007598,17.955645604607774,53.954424334424935
2013,7,1018.7896148074258,934.4175318609035,930.2306,22.559050366672118,3.1858831725212897,8.882613063095057
2013,8,1024.8940329199695,895.8909439910676,934.9718,66.81618615820452,9.496080023238155,26.368854305613034
2013,9,926.1531328621949,734.1213993496345,871.8738999999999,155.65726985860823,19.04015931456632,58.34755069300274
2013,10,917.3930487424298,705.5830547370955,895.0432,224.6854817225878,28.875273933333418,85.61403194408791
2013,11,483.67140642021064,379.9074621746714,864.0332999999999,511.12160893128413,63.1316967257501,192.20281009223598
2013,12,812.7189920432966,646.6573087380272,892.8,277.7902039588105,34.63644334015567,104.7854847438957
2014,1,471.4660465651975,393.75680487220757,892.8,524.6658300310409,64.1939682559438,196.68533947590362
2014,2,502.0761950040244,401.59407893878597,806.4,441.6307671206428,55.89699070056341,167.4199116906247
2014,3,940.4750740313121,707.9271060808433,891.6005,213.56990985670822,25.425293245464157,79.35708866382481
2014,4,738.9587354431662,631.0124449069887,864.1119,259.2286271048391,31.648108063296046,97.10988258472007
2014,5,809.547261213957,687.9639947240231,896.6392999999999,235.20242876756316,28.276429882009452,87.67098260109105
2014,6,779.9478580839784,688.9042428135145,880.6152,200.03722954884256,25.30760767698707,75.82205958326044
2014,7,839.9495652194012,759.8446211339929,913.2827,198.65777494333534,25.106680783943446,75.27278556761398
2014,8,1044.8876553280882,918.9589481496719,918.355,25.948978089427047,3.0891640582651254,9.641936303069935
2014,9,839.1696736206931,673.9780149077113,868.5331,221.65767643334027,28.503850702825073,84.47801141831503
2014,10,917.0674193309112,688.8613635453803,896.1034999999999,233.82955510978118,28.429329525454133,87.47719697741907
2014,11,571.0155411816004,455.35233583040656,864.0,435.3178491203683,53.85687475169124,163.785624529562
2014,12,589.0621949740173,458.08626837256537,892.8,464.86667437146633,56.90232934474121,174.29290368097008
2015,1,687.8154700798876,557.0630369366704,892.8,373.1474641841186,47.52610249621475,141.7552601184669
2015,2,694.749443577907,512.2961966021227,806.4,320.18755958680094,41.289960561023186,122.14540490112444
2015,3,900.8954280483742,671.58969003602,891.6188999999999,251.53160927199406,31.378335185482307,94.89641833497575
2015,4,895.2615910880135,687.6467108535527,864.3100999999999,200.51920418979097,25.113454650213807,75.74961732440345
2015,5,891.8718483546639,765.6558308772167,901.7475,165.45545368100636,22.168712524164434,63.95039274664079
2015,6,896.9274795210741,784.9168056685156,886.3387,126.79533263599974,15.981635433784115,48.00065882671334
2015,7,1010.6320014545964,973.6289982904023,950.4066,0.0,0.0,0.0
2015,8,958.4900488595277,865.7457996204006,937.3872,103.14538872960202,12.41920681635825,38.46602215211634
2015,9,1011.2077088449934,801.4141883069075,881.4333,106.71662361157723,12.772195559453627,39.72083788560949
2015,10,706.9509994863143,554.7637063095764,894.6768999999999,367.6407070866293,44.35753883794232,137.19610123355577
2015,11,830.7456371915856,655.0466827383868,864.2683999999999,237.1413116127573,28.318032887910114,88.20220248709126
2015,12,1082.3559552548377,871.0902700558609,892.8,52.419650622119406,6.286873976785504,19.524159487421716
2016,1,657.0279184863439,533.1830784042044,892.8,391.1534176697842,47.65174620278459,146.4278617759624
2016,2,420.87392576073364,363.03545215727235,835.1999999999999,504.0698324471955,63.12077602493935,190.41113775402914
2016,3,689.152970485382,534.7335386068855,891.6,385.8922663493595,47.48187402507478,144.9294160324888
2016,4,900.4839664962147,711.3127193502769,865.683,180.7661771061871,22.309848851336728,67.95787337310114
2016,5,776.8454154581901,693.2665736074449,896.1696999999999,230.77381919025856,28.37750206851435,86.65371903575135
2016,6,833.135980051022,738.2457068265045,881.7648,168.75746054167962,21.98917388061707,64.60469421942506
2016,7,960.1252347614577,880.0222175289499,932.0735,79.21215013418657,9.519553719473146,29.522621935176822
2016,8,1005.2502534679492,874.0854957542591,926.0074999999999,76.28725566929928,9.405859166658187,28.67031766900649
2016,9,940.2606275440214,755.470179057449,876.5029,150.9534483711247,19.222523526904336,57.34208119638026
2016,10,750.6527467653586,583.869962713314,894.6043999999999,338.47630156037235,41.182685523520405,126.65649904886696
2016,11,662.6326976478825,525.8364003588324,864.0,367.8248188549427,47.53436708057057,140.41942234697024
2016,12,973.7375238932524,779.7344337739579,892.8,132.70345799291837,15.798030713442666,49.30900495407862
2017,1,907.0103175313802,654.2869871155171,892.8,278.36920851553,34.784602303712155,105.07985697935104
2017,2,578.5383709063774,486.38993633777966,806.4,350.5650326798148,44.117913247727884,132.64443665172152
2017,3,1071.2897444507512,767.8379650313284,891.9717999999999,154.47646307180491,18.93688493787095,57.94609278428633
2017,4,848.8074724674761,661.1469155636703,864.1024,229.10192081833168,28.445257382960534,86.29927779163015
2017,5,958.4153206332614,803.64331172362,898.6093999999999,121.67350024335404,15.879853050537491,46.605484425121844
2017,6,932.5205217335217,869.2256512622025,896.9861,48.16898019777094,6.263132395779615,18.427016284105612
2017,7,981.5108819834381,920.0642602590071,939.4351,40.56118667806889,6.273889782225805,16.51661369082906
2017,8,1074.2757138663558,892.9146686621905,946.8769,93.04024245317898,12.593806269994905,36.08881699049465
2017,9,840.6252518427988,690.4436036313506,871.2169,207.76400374521197,25.285635163978675,77.75129267539583
2017,10,1068.7880762171126,841.8798802342905,895.9923,79.65351402931384,9.482561193965935,29.597084938742153
2017,11,562.5336793282912,426.86254901696236,864.0,463.1119836268015,56.816532422132575,173.76400303496123
2017,12,617.8145470349164,512.517787790903,892.8,416.8829845031962,50.61610920702943,155.88959014218
2018,1,608.6030055082186,484.0750494193019,892.8,438.7969998073987,53.552882042299245,164.3602052259858
2018,2,543.6086590334115,407.8073570269969,806.4,429.4313442505745,53.47649131351005,161.91874996264502
2018,3,530.5983421266175,444.1761629493199,891.6,467.5702155610275,58.12185392708752,176.19514068492273
2018,4,931.1869429196341,726.3666127839828,869.6646,175.5594826158128,21.147451584494654,65.48065426525547
2018,5,929.0891073284598,818.826769693167,905.8273,118.3899732692602,15.934013277176252,45.830471173454086
2018,6,854.1330107005497,732.4114256399263,883.521,176.91223101108184,22.133822134957832,66.80862794583709
2018,7,925.3931226578586,838.8693153675398,929.8688,116.72863952302008,15.69913501091419,45.17606418339401
2018,8,973.5187138443252,873.5995135744556,936.4381,92.16399749586012,12.563330672602138,35.837067413980954
2018,9,1050.559475165751,833.1176034857394,883.4282,76.78754159842468,9.426110749895916,28.816904082831442
2018,10,915.8654429751545,722.2039790123242,898.4576999999999,202.88742928141104,25.298893382022083,76.53309269550972
2018,11,673.6470207663352,532.956732475622,864.3372999999999,359.457425480364,44.192233349923946,134.96431049143
2018,12,622.7830185577373,522.9774283229598,892.8,403.037877526986,50.473911173913606,152.25115297365755
2019,1,565.1823133995487,440.3075070099738,892.8,483.05288817830154,59.946734005333546,181.9297865756117
2019,2,885.6999045236134,628.9582435522697,806.4,206.23140317155438,25.31084503520433,77.38948219973825
2019,3,1009.2382479351907,743.4373424646967,891.7362999999999,178.317471135109,22.110803905345062,67.1404683334029
2019,4,786.670318237059,651.7779859469082,864.5366,235.62942082312486,28.17845675846168,87.68083575420027
2019,5,629.5065628875096,559.6343807186909,893.1388999999999,364.8740906185024,44.071264294898924,136.2111861682581
2019,6,918.8329732687546,844.2918385378458,894.1514,75.1547041387714,9.38851930248333,28.366979943587214
2019,7,924.2526028212993,858.4491022755509,930.9782,99.95801798723359,12.532772887663606,37.774696621813504
2019,8,1057.9198370539686,937.3113805821447,937.6249,27.07205143527324,3.218648980389672,10.055025605458672
2019,9,951.9996366677765,753.2224100725624,877.2531,146.4381848535574,18.9290964837467,55.90843609323089
2019,10,1064.0432872714553,790.0333992285866,897.6369,124.58921585205621,15.794694280881117,47.256617475844806
2019,11,427.7345956560298,335.94081139935867,864.0,571.183541886845,69.39679573058982,213.63506388383348
2019,12,629.1967205438215,528.4533475747792,892.8,397.3450599500305,50.3977996608953,150.73746126443834
2020,1,927.6034282515162,697.2815088176109,892.8,226.21904405410902,28.257071124082895,85.38309234986801
2020,2,829.4277886447264,639.3483892564519,835.1999999999999,225.4603333706744,28.180397398874124,85.11482501773129
2020,3,958.5982628422425,750.8455359200254,891.6,159.37262542224562,19.978371068799795,60.22398354916485
2020,4,1059.9990708857438,761.4896189920445,864.7859,139.90199896269087,17.886389287913396,53.21517690475452
2020,5,787.7275445204631,662.7926631532578,897.9929999999999,261.34320463993765,31.639651954032836,97.63541070149184
2020,6,795.5487525012418,709.2279308451429,876.2191,193.28528060283622,25.15872852361773,73.96814281726324
2020,7,982.126222442024,905.2179657091931,929.2128,50.78302237527393,6.219982778872533,19.04397832818413
2020,8,959.1580455271998,849.5499100863539,929.3283,105.77828866555434,12.714448544636433,39.4261376015946
2020,9,925.6667544267654,787.239390614741,884.0124,123.09165214532102,15.634237294411006,46.717987836158734
2020,10,819.4564862557573,619.2085129320352,894.8231999999999,304.665303813409,38.01994745434709,114.95563023551098
2020,11,880.4990293272194,727.5900651653327,864.0,165.337949738029,22.073372741718643,63.825380251321924
2020,12,458.49912807017625,416.0644096208335,892.8,501.3567713895197,59.91380168595131,186.51904698633507
2021,1,516.788159636698,361.4796923712204,892.8,569.7228543996024,69.4474897704906,213.31689744715786
2021,2,688.6101118868997,497.6617220408963,806.4058,338.79217956276005,44.25883028771218,129.81241098537888
2021,3,1042.9460288474274,787.6207969287506,891.6116,133.2993705264308,15.868972681717956,49.530429885362096
2021,4,847.9219275195492,642.5307969124822,864.1943,248.08015812340358,31.630052291947525,94.27655686856458
2021,5,929.6553798062987,773.4462332909352,896.4268999999999,149.36166068096085,18.89392578880011,56.61151686985083
2021,6,911.6807794210216,817.0577095141983,896.1828,104.09831917422945,12.627023174183234,38.91447751110986
2021,7,946.745798623416,855.1543998625684,944.9518,116.7465747799243,15.847849287313016,45.32930756507168
2021,8,989.2761708088531,871.3888699495783,935.776,92.38204871918475,12.66395645406496,35.992756635677274
2021,9,1016.2733195632308,856.7334900102528,880.2306,46.43830674581407,6.291354453482165,18.018199591314
2021,10,899.575934464458,693.3604762013201,895.1043999999999,232.60420030927838,28.462286549263485,87.20072097079843
2021,11,450.55641991984726,380.4275937686715,864.1254,513.9607452843505,63.169896211240285,192.9579632022379
2021,12,524.9021776751854,408.9653592466031,892.8,517.0123593637569,63.4250389326086,193.98371553961792
2022,1,941.683684831133,687.8680808865693,892.8,231.58636749715137,28.31242044145004,86.79382637507412
2022,2,825.3483616205923,606.0406196345033,806.4,221.93588389406668,31.548044713214676,87.59245983797899
2022,3,1168.0313331037476,784.0557831593651,891.6016999999999,148.7619481606774,18.72171441368332,56.28786293910691
2022,4,896.4293151865132,708.9786156508084,864.1437,179.34863647596464,22.434610064943858,67.72466978109654
2022,5,945.6598009550162,832.8441240976463,904.7766,98.80066263479947,12.635121145206973,37.58478342672199
2022,6,925.55985471647,846.9646101427918,899.2526,78.21439182459622,9.535652608781074,29.28676165539628
2022,7,996.1943226564956,921.6743410106628,943.3466999999999,49.219092052993894,6.342372053173488,18.771435702919423
2022,8,937.6946215387994,831.8079174444442,933.6725,128.50270983412292,16.013586583345038,48.46376583438618
2022,9,821.7252843979178,656.370247657337,874.4497,245.07737416274838,31.594612291971824,93.48283809064566
2022,10,987.4895245545212,793.5747676369795,897.4467999999999,130.4592165194549,15.895601064253666,48.83984766007561
2022,11,614.2910150178649,524.3783002253394,864.4691,364.13976857003877,44.124005167438646,136.0784921800747
2022,12,368.5697887700088,321.1246610142314,892.8,600.0813985654336,72.83055853318751,224.36626524163032
2023,1,746.6534730962684,595.5067295230181,892.8,340.112941915466,44.08128953774428,129.96839608205389
2023,2,831.0239571716792,617.9834403527805,806.4,215.9012812492278,28.50002183200881,83.02054739999562
2023,3,936.0540661650176,715.2977414911958,891.6,202.11209265858062,25.470864138577454,76.50927137559276
2023,4,869.6146299039808,720.1719357478823,864.0224,173.88823212712137,22.127206932714863,66.03837666178592
2023,5,793.2526843690749,693.2859290645168,898.312,228.58903372332276,28.133986739616358,85.8584902051019
2023,6,819.4388940803684,754.2225012253024,882.8791,157.20931346630869,18.978374100507043,58.67769568290822
2023,7,982.2335013154095,916.3548082767567,939.4128,51.412170955242004,6.290004562857737,19.27287601620168
2023,8,975.208735000989,883.2597091344027,931.0273,64.51087683240446,9.537758788626649,25.82838425135505
2023,9,976.6391457941897,809.1020125150671,885.5276,114.10738438073258,15.767947522818037,44.58294357855859
2023,10,806.2380702793531,671.6868732577207,899.9039,252.4656445360842,31.991030839381175,95.74498147980647
2023,11,511.1368343029254,450.11109896539494,864.0,441.3852579886506,53.54059396980773,165.00151770431546
2023,12,632.57602749232,534.6277959147594,892.8,396.953189826717,50.26335032175695,150.50405482345317
